item_id,restaurant_id,item_name,category,price
54,54,Idli 54,Dessert,351.78
55,55,Vada 55,Dessert,565.17
56,56,Burger 56,Combo,477.06
57,57,Veg Noodles 57,Starter,499.58
58,58,Paneer Biryani 58,Starter,642.73
59,59,French Fries 59,Combo,386.16
60,60,Chicken Biryani 60,Combo,97.68
61,61,Gulab Jamun 61,Beverage,221.46
62,62,Paneer Butter Masala 62,Combo,612.97
63,63,Burger 63,Main Course,534.91
64,64,Gulab Jamun 64,Starter,453.19
65,65,Ice Cream 65,Starter,641.14
66,66,Momos 66,Dessert,536.6
67,67,Vada 67,Dessert,472.12
68,68,Chicken 65 68,Starter,512.9
69,69,Margherita Pizza 69,Dessert,233.8
70,70,Idli 70,Beverage,144.85
71,71,Cold Coffee 71,Beverage,608.25
72,72,Veg Fried Rice 72,Starter,167.32
73,73,Burger 73,Starter,527.41
74,74,Ice Cream 74,Dessert,553.74
75,75,Fresh Lime Soda 75,Beverage,535.99
76,76,Veg Fried Rice 76,Combo,402.49
77,77,Brownie 77,Dessert,149.55
78,78,Farmhouse Pizza 78,Main Course,335.11
79,79,Burger 79,Dessert,105.29
80,80,Brownie 80,Dessert,405.07
81,81,Cold Coffee 81,Starter,424.97
82,82,Masala Dosa 82,Beverage,122.32
83,83,Paneer Tikka 83,Combo,193.82
84,84,Brownie 84,Starter,431.32
85,85,Paneer Biryani 85,Dessert,163.05
86,86,French Fries 86,Combo,649.96
87,87,Paneer Tikka 87,Main Course,254.49
88,88,Paneer Butter Masala 88,Dessert,368.9
89,89,Gulab Jamun 89,Dessert,533.15
90,90,Chicken Fried Rice 90,Main Course,219.92
91,91,Cold Coffee 91,Starter,441.37
92,92,Chicken 65 92,Dessert,421.14
93,93,Cold Coffee 93,Dessert,600.36
94,94,Vada 94,Main Course,471.35
95,95,Paneer Tikka 95,Combo,251.05
96,96,Veg Fried Rice 96,Starter,261.89
97,97,Burger 97,Combo,391.39
98,98,French Fries 98,Main Course,466.1
99,99,Burger 99,Combo,513.03
100,100,Farmhouse Pizza 100,Dessert,514.64
101,101,Farmhouse Pizza 101,Main Course,132.3
102,102,Chicken Biryani 102,Dessert,136.69
103,103,Momos 103,Starter,601.03
104,104,Chicken Curry 104,Dessert,94.63
105,105,Ice Cream 105,Dessert,371.46
106,106,Farmhouse Pizza 106,Beverage,639.49
107,107,Fresh Lime Soda 107,Combo,243.14
108,108,Ice Cream 108,Beverage,199.37
109,109,Margherita Pizza 109,Starter,524.36
110,110,Chicken Curry 110,Starter,325.97
111,111,Gulab Jamun 111,Dessert,646.34
112,112,Veg Noodles 112,Starter,572.47
113,113,Butter Naan 113,Main Course,487.61
114,114,Paneer Biryani 114,Combo,111.25
115,115,Idli 115,Starter,372.11
116,116,Idli 116,Starter,106.59
117,117,French Fries 117,Dessert,404.9
118,118,Margherita Pizza 118,Beverage,626.38
119,119,Paneer Tikka 119,Combo,488.1
120,120,Masala Dosa 120,Starter,146.83
121,121,Chicken Fried Rice 121,Combo,512.77
122,122,Veg Biryani 122,Main Course,542.12
123,123,Brownie 123,Dessert,239.19
124,124,Paneer Butter Masala 124,Combo,132.15
125,125,Gulab Jamun 125,Starter,139.73
126,126,Paneer Butter Masala 126,Dessert,283.38
127,127,Gulab Jamun 127,Dessert,256.23
128,128,Chicken Biryani 128,Starter,112.64
129,129,Fresh Lime Soda 129,Starter,140.93
130,130,Paneer Biryani 130,Dessert,380.86
131,131,Chicken Noodles 131,Main Course,255.8
132,132,Gulab Jamun 132,Starter,575.14
133,133,Margherita Pizza 133,Beverage,379.75
134,134,Burger 134,Main Course,577.55
135,135,Burger 135,Beverage,428.29
136,136,Paneer Butter Masala 136,Main Course,316.27
137,137,Chicken Biryani 137,Beverage,146.32
138,138,Chicken 65 138,Starter,573.33
139,139,Paneer Butter Masala 139,Dessert,130.98
140,140,French Fries 140,Main Course,85.52
141,141,Chicken 65 141,Starter,135.21
142,142,Veg Biryani 142,Main Course,634.94
143,143,Paneer Biryani 143,Dessert,423.12
144,144,Paneer Butter Masala 144,Beverage,116.73
145,145,Paneer Tikka 145,Starter,168.98
146,146,Burger 146,Main Course,122.84
147,147,Fresh Lime Soda 147,Dessert,624.34
148,148,Paneer Butter Masala 148,Main Course,564.83
149,149,Cold Coffee 149,Combo,585.96
150,150,Paneer Biryani 150,Combo,257.69
151,151,Paneer Biryani 151,Beverage,301.26
152,152,Paneer Tikka 152,Main Course,573.22
153,153,Butter Naan 153,Dessert,100.44
154,154,Chicken Noodles 154,Dessert,161.41
155,155,Margherita Pizza 155,Starter,100.71
156,156,Brownie 156,Beverage,287.74
157,157,Gulab Jamun 157,Combo,624.88
158,158,Chicken Biryani 158,Dessert,499.42
159,159,Chicken Curry 159,Beverage,210.35
160,160,Chicken Curry 160,Beverage,95.52
161,161,Paneer Tikka 161,Starter,320.09
162,162,Vada 162,Main Course,100.33
163,163,French Fries 163,Beverage,295.38
164,164,Chicken Fried Rice 164,Dessert,219.22
165,165,Chicken 65 165,Main Course,541.78
166,166,Vada 166,Main Course,197.96
167,167,Fresh Lime Soda 167,Starter,96.71
168,168,Paneer Tikka 168,Dessert,195.72
169,169,French Fries 169,Starter,247.25
170,170,Chicken Biryani 170,Dessert,256.36
171,171,Cold Coffee 171,Starter,272.64
172,172,Cold Coffee 172,Dessert,316.48
173,173,Butter Naan 173,Starter,401.18
174,174,Butter Naan 174,Dessert,208.41
175,175,Farmhouse Pizza 175,Beverage,353.89
176,176,Chicken Curry 176,Starter,424.86
177,177,French Fries 177,Beverage,577.95
178,178,Chicken Biryani 178,Main Course,95.77
179,179,Burger 179,Beverage,138.12
180,180,Veg Fried Rice 180,Dessert,358.24
181,181,Veg Biryani 181,Main Course,486.62
182,182,Veg Noodles 182,Combo,217.47
183,183,Chicken Fried Rice 183,Beverage,303.06
184,184,Chicken Biryani 184,Main Course,208.33
185,185,Masala Dosa 185,Beverage,574.33
186,186,Chicken 65 186,Combo,488.47
187,187,Brownie 187,Beverage,301.45
188,188,Brownie 188,Beverage,446.41
189,189,Veg Biryani 189,Main Course,366.14
190,190,Ice Cream 190,Combo,92.12
191,191,Chicken Curry 191,Starter,81.25
192,192,Paneer Tikka 192,Beverage,139.94
193,193,Farmhouse Pizza 193,Combo,610.85
194,194,Chicken Biryani 194,Dessert,504.15
195,195,Momos 195,Main Course,565.44
196,196,Ice Cream 196,Beverage,98.44
197,197,Vada 197,Main Course,603.91
198,198,Brownie 198,Combo,607.24
199,199,Paneer Tikka 199,Dessert,349.7
200,200,Chicken 65 200,Main Course,239.92
201,201,Chicken Fried Rice 201,Dessert,449.08
202,202,Fresh Lime Soda 202,Starter,463.97
203,203,Farmhouse Pizza 203,Beverage,645.21
204,204,Brownie 204,Combo,464.1
205,205,Chicken 65 205,Dessert,386.62
206,206,Brownie 206,Combo,554.03
207,207,Cold Coffee 207,Dessert,527.21
208,208,Paneer Butter Masala 208,Main Course,161.04
209,209,Chicken Biryani 209,Beverage,561.83
210,210,Burger 210,Dessert,125.79
211,211,Chicken Biryani 211,Starter,298.57
212,212,Fresh Lime Soda 212,Beverage,209.66
213,213,Margherita Pizza 213,Dessert,508.69
214,214,Paneer Biryani 214,Beverage,246.14
215,215,Veg Fried Rice 215,Dessert,145.55
216,216,French Fries 216,Dessert,614.47
217,217,Vada 217,Starter,116.72
218,218,Idli 218,Beverage,410.87
219,219,Chicken 65 219,Main Course,625.6
220,220,Veg Biryani 220,Main Course,162.73
221,221,Momos 221,Main Course,638.64
222,222,Brownie 222,Combo,279.55
223,223,Margherita Pizza 223,Starter,635.11
224,224,Veg Noodles 224,Beverage,157.08
225,225,Chicken Noodles 225,Starter,418.3
226,226,Chicken Curry 226,Dessert,438.64
227,227,Veg Biryani 227,Combo,94.14
228,228,Farmhouse Pizza 228,Starter,228.81
229,229,Veg Biryani 229,Combo,146.36
230,230,Gulab Jamun 230,Dessert,459.06
231,231,Chicken Noodles 231,Main Course,166.0
232,232,Chicken Curry 232,Dessert,83.44
233,233,Idli 233,Main Course,360.43
234,234,Veg Noodles 234,Main Course,175.42
235,235,Chicken 65 235,Starter,271.31
236,236,Chicken Curry 236,Main Course,187.28
237,237,Brownie 237,Main Course,336.56
238,238,Paneer Butter Masala 238,Starter,391.21
239,239,French Fries 239,Beverage,250.53
240,240,Paneer Biryani 240,Dessert,290.89
241,241,Fresh Lime Soda 241,Main Course,134.84
242,242,Butter Naan 242,Dessert,430.01
243,243,Chicken 65 243,Combo,232.85
244,244,Paneer Butter Masala 244,Combo,144.76
245,245,Chicken Curry 245,Combo,196.37
246,246,Ice Cream 246,Combo,503.45
247,247,Momos 247,Main Course,94.99
248,248,Ice Cream 248,Combo,173.27
249,249,French Fries 249,Dessert,451.48
250,250,Chicken 65 250,Dessert,622.77
251,251,Veg Fried Rice 251,Main Course,525.42
252,252,Paneer Tikka 252,Beverage,300.28
253,253,Brownie 253,Dessert,556.93
254,254,Margherita Pizza 254,Dessert,228.04
255,255,Burger 255,Beverage,297.98
256,256,Vada 256,Main Course,396.4
257,257,Chicken 65 257,Main Course,504.47
258,258,Paneer Biryani 258,Beverage,221.25
259,259,French Fries 259,Combo,401.93
260,260,Chicken 65 260,Dessert,583.19
261,261,French Fries 261,Combo,583.96
262,262,Farmhouse Pizza 262,Dessert,148.29
263,263,Veg Fried Rice 263,Combo,276.28
264,264,Vada 264,Main Course,223.0
265,265,Farmhouse Pizza 265,Starter,263.73
266,266,Vada 266,Starter,86.39
267,267,Paneer Butter Masala 267,Combo,513.9
268,268,Vada 268,Combo,147.16
269,269,Ice Cream 269,Main Course,570.83
270,270,French Fries 270,Combo,100.13
271,271,Chicken 65 271,Starter,382.15
272,272,Chicken Curry 272,Combo,519.68
273,273,Veg Biryani 273,Beverage,191.01
274,274,Veg Noodles 274,Dessert,205.01
275,275,Chicken Biryani 275,Combo,208.24
276,276,Veg Biryani 276,Starter,400.35
277,277,Farmhouse Pizza 277,Beverage,90.58
278,278,Brownie 278,Dessert,443.29
279,279,Chicken Noodles 279,Dessert,417.71
280,280,Gulab Jamun 280,Main Course,411.56
281,281,Cold Coffee 281,Main Course,498.64
282,282,Vada 282,Main Course,561.42
283,283,Chicken Fried Rice 283,Combo,341.17
284,284,Momos 284,Beverage,637.61
285,285,Idli 285,Beverage,278.56
286,286,Gulab Jamun 286,Beverage,93.96
287,287,Veg Noodles 287,Combo,617.91
288,288,Chicken Fried Rice 288,Beverage,220.92
289,289,Chicken Noodles 289,Dessert,348.37
290,290,Burger 290,Beverage,220.04
291,291,Ice Cream 291,Beverage,504.71
292,292,Chicken 65 292,Dessert,362.34
293,293,Momos 293,Beverage,421.69
294,294,Chicken Noodles 294,Combo,173.19
295,295,Paneer Tikka 295,Starter,500.01
296,296,Butter Naan 296,Starter,488.12
297,297,Chicken Curry 297,Starter,629.08
298,298,Butter Naan 298,Dessert,510.95
299,299,Chicken Curry 299,Combo,124.94
300,300,Fresh Lime Soda 300,Main Course,266.08
301,1,Paneer Tikka 301,Beverage,469.45
302,2,Chicken Fried Rice 302,Beverage,115.85
303,3,Butter Naan 303,Beverage,188.98
304,4,Chicken Noodles 304,Dessert,375.47
305,5,Butter Naan 305,Starter,621.12
306,6,Ice Cream 306,Combo,333.06
307,7,Gulab Jamun 307,Combo,128.93
308,8,Cold Coffee 308,Dessert,99.03
309,9,Chicken 65 309,Main Course,412.32
310,10,Margherita Pizza 310,Main Course,171.28
311,11,Masala Dosa 311,Starter,573.45
312,12,Veg Noodles 312,Starter,331.62
313,13,Brownie 313,Starter,343.62
314,14,Burger 314,Main Course,118.41
315,15,Paneer Biryani 315,Combo,647.32
316,16,Chicken Curry 316,Beverage,122.79
317,17,Chicken 65 317,Dessert,487.98
318,18,Veg Noodles 318,Combo,161.45
319,19,Chicken Fried Rice 319,Main Course,141.93
320,20,Idli 320,Dessert,297.6
321,21,Paneer Butter Masala 321,Main Course,333.78
322,22,Masala Dosa 322,Dessert,387.05
323,23,Ice Cream 323,Starter,497.8
324,24,Idli 324,Main Course,239.93
325,25,Vada 325,Beverage,532.3
326,26,Veg Noodles 326,Beverage,337.68
327,27,Chicken Curry 327,Main Course,451.59
328,28,Ice Cream 328,Dessert,371.76
329,29,Vada 329,Combo,180.39
330,30,Paneer Tikka 330,Starter,349.85
331,31,Brownie 331,Main Course,87.86
332,32,Cold Coffee 332,Combo,586.17
333,33,Masala Dosa 333,Starter,392.83
334,34,Veg Biryani 334,Main Course,249.98
335,35,Fresh Lime Soda 335,Beverage,350.14
336,36,Brownie 336,Main Course,310.62
337,37,Veg Noodles 337,Main Course,375.88
338,38,Veg Biryani 338,Beverage,591.33
339,39,Farmhouse Pizza 339,Combo,101.52
340,40,Fresh Lime Soda 340,Starter,240.34
341,41,Paneer Tikka 341,Starter,396.78
342,42,Paneer Butter Masala 342,Dessert,117.39
343,43,Chicken Curry 343,Beverage,474.71
344,44,Veg Biryani 344,Combo,340.78
345,45,Ice Cream 345,Dessert,555.66
346,46,Paneer Biryani 346,Beverage,401.47
347,47,Gulab Jamun 347,Main Course,374.28
348,48,Chicken Curry 348,Dessert,599.21
349,49,Ice Cream 349,Starter,416.0
350,50,Chicken Curry 350,Combo,504.32
351,51,Chicken Biryani 351,Beverage,273.44
352,52,Cold Coffee 352,Starter,81.87
353,53,Cold Coffee 353,Combo,528.66
354,54,Butter Naan 354,Beverage,403.58
355,55,Cold Coffee 355,Main Course,309.05
356,56,Margherita Pizza 356,Dessert,225.39
357,57,Paneer Butter Masala 357,Dessert,192.63
358,58,Gulab Jamun 358,Dessert,396.34
359,59,Chicken Fried Rice 359,Starter,580.34
360,60,Brownie 360,Dessert,449.92
361,61,Gulab Jamun 361,Starter,442.32
362,62,Gulab Jamun 362,Combo,138.86
363,63,Paneer Biryani 363,Beverage,276.85
364,64,Chicken Curry 364,Combo,185.68
365,65,Gulab Jamun 365,Combo,384.91
366,66,Veg Biryani 366,Starter,130.37
367,67,Paneer Tikka 367,Dessert,116.17
368,68,Veg Biryani 368,Starter,219.28
369,69,Idli 369,Main Course,600.91
370,70,Margherita Pizza 370,Combo,339.39
371,71,Chicken Biryani 371,Starter,371.21
372,72,Idli 372,Combo,646.64
373,73,Margherita Pizza 373,Starter,315.77
374,74,Gulab Jamun 374,Beverage,382.53
375,75,Paneer Biryani 375,Main Course,272.95
376,76,Chicken Biryani 376,Starter,414.97
377,77,Veg Noodles 377,Dessert,386.11
378,78,Paneer Butter Masala 378,Combo,371.12
379,79,Butter Naan 379,Dessert,427.46
380,80,Butter Naan 380,Combo,449.43
381,81,Vada 381,Combo,207.28
382,82,Ice Cream 382,Main Course,522.94
383,83,Veg Fried Rice 383,Starter,528.67
384,84,Cold Coffee 384,Combo,134.95
385,85,Veg Noodles 385,Combo,278.57
386,86,French Fries 386,Beverage,219.7
387,87,Ice Cream 387,Dessert,416.33
388,88,Brownie 388,Starter,218.49
389,89,Ice Cream 389,Starter,104.36
390,90,Paneer Butter Masala 390,Beverage,544.11
391,91,Veg Noodles 391,Main Course,570.09
392,92,Paneer Biryani 392,Beverage,326.13
393,93,Fresh Lime Soda 393,Starter,211.78
394,94,Veg Biryani 394,Dessert,364.03
395,95,Chicken Biryani 395,Main Course,467.13
396,96,Masala Dosa 396,Dessert,359.99
397,97,Paneer Biryani 397,Beverage,481.14
398,98,Paneer Biryani 398,Starter,399.98
399,99,Chicken Biryani 399,Beverage,248.07
400,100,Chicken Fried Rice 400,Starter,101.17
401,101,Burger 401,Starter,511.65
402,102,Veg Fried Rice 402,Beverage,392.64
403,103,Idli 403,Combo,267.94
404,104,Paneer Butter Masala 404,Starter,545.28
405,105,Burger 405,Combo,322.67
406,106,Paneer Biryani 406,Dessert,608.2
407,107,Veg Fried Rice 407,Dessert,341.74
408,108,Veg Noodles 408,Main Course,480.99
409,109,Ice Cream 409,Starter,428.4
410,110,Cold Coffee 410,Beverage,445.15
411,111,Gulab Jamun 411,Starter,312.35
412,112,French Fries 412,Combo,108.07
413,113,Chicken 65 413,Dessert,246.31
414,114,Gulab Jamun 414,Dessert,418.39
415,115,Masala Dosa 415,Starter,626.08
416,116,Veg Noodles 416,Dessert,610.95
417,117,Butter Naan 417,Starter,351.11
418,118,Chicken 65 418,Dessert,525.2
419,119,Farmhouse Pizza 419,Beverage,281.52
420,120,Vada 420,Dessert,338.15
421,121,Gulab Jamun 421,Dessert,586.84
422,122,Chicken 65 422,Combo,158.71
423,123,Momos 423,Beverage,629.79
424,124,Farmhouse Pizza 424,Starter,315.98
425,125,Burger 425,Combo,599.83
426,126,Chicken Curry 426,Dessert,246.23
427,127,Burger 427,Combo,595.26
428,128,Chicken Curry 428,Combo,585.41
429,129,Paneer Tikka 429,Main Course,240.77
430,130,Masala Dosa 430,Beverage,264.9
431,131,Paneer Butter Masala 431,Beverage,554.58
432,132,Paneer Tikka 432,Dessert,445.05
433,133,Veg Fried Rice 433,Main Course,642.07
434,134,Farmhouse Pizza 434,Starter,432.17
435,135,French Fries 435,Combo,391.54
436,136,Paneer Biryani 436,Dessert,512.64
437,137,Brownie 437,Main Course,628.64
438,138,Chicken Noodles 438,Dessert,198.74
439,139,Paneer Butter Masala 439,Combo,246.3
440,140,Butter Naan 440,Combo,645.92
441,141,Brownie 441,Main Course,253.29
442,142,Margherita Pizza 442,Beverage,131.32
443,143,Paneer Butter Masala 443,Dessert,428.24
444,144,Burger 444,Main Course,372.13
445,145,Paneer Tikka 445,Beverage,261.84
446,146,Chicken Fried Rice 446,Main Course,378.69
447,147,Ice Cream 447,Main Course,430.39
448,148,French Fries 448,Dessert,603.23
449,149,Chicken Biryani 449,Dessert,563.34
450,150,Brownie 450,Combo,197.98
451,151,Chicken Curry 451,Main Course,213.9
452,152,Momos 452,Beverage,98.4
453,153,Fresh Lime Soda 453,Dessert,532.77
454,154,French Fries 454,Beverage,183.52
455,155,Veg Biryani 455,Main Course,585.79
456,156,Paneer Tikka 456,Beverage,335.54
457,157,Chicken 65 457,Beverage,350.62
458,158,Farmhouse Pizza 458,Dessert,200.95
459,159,Veg Fried Rice 459,Combo,120.61
460,160,Chicken Biryani 460,Dessert,461.69
461,161,Ice Cream 461,Main Course,527.0
462,162,Paneer Tikka 462,Main Course,576.73
463,163,Vada 463,Beverage,352.94
464,164,Farmhouse Pizza 464,Beverage,146.0
465,165,French Fries 465,Dessert,83.78
466,166,Chicken Biryani 466,Dessert,609.02
467,167,Chicken Fried Rice 467,Dessert,580.8
468,168,Fresh Lime Soda 468,Main Course,456.2
469,169,Chicken Curry 469,Main Course,331.09
470,170,Paneer Tikka 470,Main Course,538.57
471,171,Paneer Butter Masala 471,Beverage,246.37
472,172,Chicken 65 472,Dessert,422.47
473,173,Gulab Jamun 473,Combo,132.1
474,174,Paneer Biryani 474,Beverage,201.37
475,175,Ice Cream 475,Dessert,574.08
476,176,Chicken Noodles 476,Beverage,341.16
477,177,Chicken 65 477,Beverage,304.12
478,178,Chicken Biryani 478,Dessert,397.26
479,179,Masala Dosa 479,Starter,318.21
480,180,Chicken 65 480,Starter,214.22
481,181,Farmhouse Pizza 481,Combo,169.72
482,182,Cold Coffee 482,Beverage,426.56
483,183,French Fries 483,Dessert,415.38
484,184,Paneer Tikka 484,Main Course,391.64
485,185,Brownie 485,Main Course,372.92
486,186,Ice Cream 486,Beverage,374.99
487,187,Veg Biryani 487,Beverage,141.55
488,188,Cold Coffee 488,Main Course,189.99
489,189,Butter Naan 489,Beverage,380.07
490,190,Masala Dosa 490,Beverage,140.02
491,191,Brownie 491,Dessert,148.94
492,192,French Fries 492,Starter,573.95
493,193,Momos 493,Main Course,573.59
494,194,Paneer Butter Masala 494,Combo,198.72
495,195,Chicken Biryani 495,Combo,448.54
496,196,Idli 496,Beverage,202.81
497,197,Paneer Biryani 497,Starter,128.32
498,198,Chicken Curry 498,Beverage,646.37
499,199,Gulab Jamun 499,Beverage,268.3
500,200,Chicken Noodles 500,Combo,428.17
501,201,Chicken Biryani 501,Main Course,351.01
502,202,Vada 502,Dessert,300.8
503,203,Ice Cream 503,Combo,356.51
504,204,Butter Naan 504,Main Course,297.51
505,205,Chicken Curry 505,Dessert,278.62
506,206,Farmhouse Pizza 506,Starter,331.97
507,207,Paneer Biryani 507,Beverage,142.22
508,208,Veg Biryani 508,Beverage,136.45
509,209,Paneer Tikka 509,Dessert,339.6
510,210,Paneer Tikka 510,Dessert,425.54
511,211,French Fries 511,Starter,503.73
512,212,Brownie 512,Starter,234.65
513,213,Momos 513,Dessert,353.28
514,214,Chicken Noodles 514,Main Course,415.93
515,215,Margherita Pizza 515,Beverage,267.21
516,216,Chicken Noodles 516,Combo,639.63
517,217,Veg Fried Rice 517,Main Course,557.37
518,218,Idli 518,Beverage,230.46
519,219,Chicken Biryani 519,Starter,386.71
520,220,Momos 520,Beverage,594.23
521,221,Chicken Curry 521,Combo,607.69
522,222,Farmhouse Pizza 522,Starter,294.93
523,223,French Fries 523,Dessert,310.1
524,224,Masala Dosa 524,Main Course,214.26
525,225,Paneer Tikka 525,Dessert,357.54
526,226,Ice Cream 526,Combo,376.92
527,227,Farmhouse Pizza 527,Combo,644.4
528,228,Paneer Tikka 528,Combo,576.82
529,229,Farmhouse Pizza 529,Dessert,375.38
530,230,Butter Naan 530,Combo,600.36
531,231,Idli 531,Main Course,387.36
532,232,Butter Naan 532,Beverage,412.93
533,233,Brownie 533,Combo,242.62
534,234,Veg Biryani 534,Beverage,530.27
535,235,Masala Dosa 535,Dessert,238.94
536,236,Chicken Noodles 536,Main Course,338.06
537,237,Chicken 65 537,Beverage,235.44
538,238,Brownie 538,Starter,353.84
539,239,Veg Noodles 539,Main Course,114.72
540,240,Vada 540,Beverage,342.24
541,241,Cold Coffee 541,Starter,393.28
542,242,Masala Dosa 542,Main Course,340.13
543,243,Paneer Biryani 543,Combo,220.04
544,244,Chicken Fried Rice 544,Beverage,297.64
545,245,Chicken Biryani 545,Starter,335.84
546,246,Paneer Butter Masala 546,Combo,616.16
547,247,Chicken Biryani 547,Starter,259.06
548,248,Farmhouse Pizza 548,Combo,427.31
549,249,Chicken Fried Rice 549,Main Course,399.1
550,250,Cold Coffee 550,Beverage,384.92
551,251,Margherita Pizza 551,Dessert,80.24
552,252,Brownie 552,Dessert,284.19
553,253,Chicken Fried Rice 553,Starter,408.16
554,254,Fresh Lime Soda 554,Combo,202.83
555,255,Momos 555,Starter,641.52
556,256,Paneer Tikka 556,Dessert,557.39
557,257,Margherita Pizza 557,Beverage,520.72
558,258,Paneer Tikka 558,Starter,132.43
559,259,Margherita Pizza 559,Dessert,118.22
560,260,Paneer Tikka 560,Starter,311.61
561,261,Brownie 561,Dessert,498.85
562,262,Farmhouse Pizza 562,Dessert,119.9
563,263,Butter Naan 563,Starter,516.39
564,264,Paneer Tikka 564,Starter,530.94
565,265,Chicken Fried Rice 565,Starter,85.9
566,266,Chicken Curry 566,Starter,504.21
567,267,Veg Noodles 567,Starter,252.74
568,268,Momos 568,Combo,320.19
569,269,Chicken Biryani 569,Combo,224.13
570,270,Paneer Tikka 570,Beverage,541.22
571,271,Masala Dosa 571,Combo,357.31
572,272,Chicken Biryani 572,Beverage,208.25
573,273,Idli 573,Beverage,629.36
574,274,Butter Naan 574,Beverage,630.51
575,275,Cold Coffee 575,Beverage,243.74
576,276,Veg Fried Rice 576,Main Course,452.07
577,277,Paneer Tikka 577,Starter,107.59
578,278,Burger 578,Main Course,563.27
579,279,Gulab Jamun 579,Starter,572.5
580,280,Momos 580,Starter,591.14
581,281,Farmhouse Pizza 581,Starter,383.6
582,282,Chicken Biryani 582,Combo,172.85
583,283,Chicken Biryani 583,Beverage,220.27
584,284,Paneer Tikka 584,Beverage,94.75
585,285,Cold Coffee 585,Beverage,307.65
586,286,Veg Noodles 586,Combo,318.7
587,287,Veg Biryani 587,Main Course,608.61
588,288,Momos 588,Starter,579.64
589,289,Chicken Curry 589,Main Course,527.81
590,290,Vada 590,Starter,539.5
591,291,Chicken Biryani 591,Beverage,588.63
592,292,Chicken Fried Rice 592,Beverage,443.24
593,293,Vada 593,Combo,473.02
594,294,Gulab Jamun 594,Starter,343.44
595,295,Farmhouse Pizza 595,Dessert,636.35
596,296,Paneer Biryani 596,Starter,353.81
597,297,Brownie 597,Combo,503.37
598,298,Chicken Curry 598,Starter,208.93
599,299,Vada 599,Dessert,615.03
600,300,Momos 600,Beverage,595.57
601,1,Chicken Biryani 601,Main Course,394.3
602,2,Masala Dosa 602,Beverage,335.22
603,3,Paneer Tikka 603,Main Course,316.08
604,4,Gulab Jamun 604,Starter,584.01
605,5,Gulab Jamun 605,Beverage,110.24
606,6,Veg Noodles 606,Beverage,117.24
607,7,Chicken Curry 607,Main Course,384.74
608,8,Paneer Biryani 608,Dessert,586.01
609,9,Fresh Lime Soda 609,Starter,443.91
610,10,Chicken 65 610,Starter,200.81
611,11,Cold Coffee 611,Dessert,290.59
612,12,Chicken 65 612,Beverage,324.81
613,13,Paneer Biryani 613,Starter,546.38
614,14,Veg Biryani 614,Starter,513.68
615,15,Burger 615,Beverage,500.33
616,16,Veg Noodles 616,Dessert,464.99
617,17,Veg Noodles 617,Beverage,252.55
618,18,Veg Biryani 618,Main Course,577.43
619,19,Ice Cream 619,Combo,432.06
620,20,Gulab Jamun 620,Combo,591.96
621,21,Chicken Fried Rice 621,Beverage,467.4
622,22,Vada 622,Starter,273.6
