user_id,signup_date,city,age_group,device_type,acquisition_channel
50,2026-03-28,Delhi,18-24,Android,Google Ads
51,2026-05-18,Chennai,25-34,Android,Instagram
52,2026-04-29,Visakhapatnam,18-24,Android,YouTube
53,2026-01-26,Hyderabad,18-24,iOS,Google Ads
54,2026-02-12,Chennai,45+,Android,Referral
55,2026-01-16,Visakhapatnam,45+,Android,Referral
56,2026-03-09,Delhi,45+,Android,Push Notification
57,2026-05-23,Mumbai,45+,Android,Instagram
58,2026-02-25,Hyderabad,18-24,iOS,Organic
59,2026-01-13,Pune,45+,Android,YouTube
60,2026-02-10,Hyderabad,18-24,iOS,Organic
61,2026-06-02,Hyderabad,25-34,Android,YouTube
62,2026-03-05,Pune,18-24,Android,Referral
63,2026-06-18,Pune,35-44,iOS,Google Ads
64,2026-06-21,Mumbai,35-44,Android,Referral
65,2026-02-03,Mumbai,35-44,Android,Organic
66,2026-01-03,Chennai,18-24,Android,Google Ads
67,2026-05-10,Bengaluru,25-34,iOS,Organic
68,2026-03-04,Bengaluru,35-44,Android,YouTube
69,2026-06-30,Bengaluru,18-24,Android,YouTube
70,2026-03-18,Mumbai,18-24,iOS,Google Ads
71,2026-03-09,Hyderabad,18-24,iOS,Google Ads
72,2026-03-11,Bengaluru,25-34,iOS,Google Ads
73,2026-06-25,Mumbai,35-44,Android,Instagram
74,2026-01-14,Hyderabad,45+,iOS,Organic
75,2026-01-01,Bengaluru,25-34,Android,Instagram
76,2026-02-11,Mumbai,45+,Android,Referral
77,2026-05-24,Hyderabad,18-24,Android,Push Notification
78,2026-02-08,Pune,18-24,iOS,YouTube
79,2026-05-22,Visakhapatnam,45+,Android,Instagram
80,2026-04-04,Delhi,18-24,iOS,Google Ads
81,2026-06-24,Visakhapatnam,18-24,Android,YouTube
82,2026-04-15,Pune,25-34,iOS,Google Ads
83,2026-02-11,Delhi,25-34,iOS,Organic
84,2026-02-15,Mumbai,35-44,iOS,Referral
85,2026-06-21,Delhi,25-34,Android,Push Notification
86,2026-01-28,Chennai,18-24,iOS,Google Ads
87,2026-02-21,Delhi,45+,Android,Google Ads
88,2026-02-27,Hyderabad,25-34,Android,Instagram
89,2026-01-18,Delhi,35-44,Android,YouTube
90,2026-04-13,Mumbai,35-44,iOS,Organic
91,2026-03-08,Visakhapatnam,35-44,Android,YouTube
92,2026-04-22,Bengaluru,35-44,Android,YouTube
93,2026-01-30,Chennai,25-34,Android,Push Notification
94,2026-04-22,Hyderabad,25-34,Android,Organic
95,2026-06-20,Bengaluru,35-44,Android,Organic
96,2026-03-18,Pune,35-44,Android,Instagram
97,2026-04-14,Mumbai,35-44,Android,Google Ads
98,2026-04-18,Mumbai,45+,Android,Google Ads
99,2026-06-07,Pune,35-44,Android,Organic
100,2026-03-19,Bengaluru,25-34,Android,YouTube
101,2026-06-05,Mumbai,35-44,Android,Referral
102,2026-06-22,Visakhapatnam,45+,iOS,Push Notification
103,2026-02-13,Mumbai,18-24,Android,Push Notification
104,2026-06-12,Pune,35-44,Android,Google Ads
105,2026-06-22,Bengaluru,25-34,iOS,Google Ads
106,2026-01-07,Hyderabad,25-34,iOS,YouTube
107,2026-01-19,Chennai,45+,iOS,YouTube
108,2026-02-19,Mumbai,45+,Android,Google Ads
109,2026-02-07,Mumbai,18-24,iOS,Organic
110,2026-04-19,Visakhapatnam,25-34,iOS,Push Notification
111,2026-05-13,Chennai,18-24,Android,Organic
112,2026-04-27,Visakhapatnam,45+,Android,YouTube
113,2026-06-02,Bengaluru,45+,Android,Push Notification
114,2026-05-10,Chennai,45+,iOS,Push Notification
115,2026-05-02,Chennai,35-44,iOS,Push Notification
116,2026-03-12,Delhi,45+,Android,Instagram
117,2026-04-23,Hyderabad,35-44,Android,Instagram
118,2026-03-23,Pune,18-24,Android,Google Ads
119,2026-04-09,Mumbai,25-34,iOS,Organic
120,2026-04-17,Chennai,35-44,Android,Referral
121,2026-01-16,Visakhapatnam,45+,Android,YouTube
122,2026-06-28,Hyderabad,45+,Android,Instagram
123,2026-03-18,Delhi,45+,iOS,Referral
124,2026-05-18,Mumbai,25-34,Android,Instagram
125,2026-04-22,Chennai,18-24,Android,Push Notification
126,2026-06-23,Delhi,45+,iOS,Referral
127,2026-02-02,Pune,18-24,iOS,YouTube
128,2026-05-25,Mumbai,18-24,Android,Referral
129,2026-02-04,Delhi,45+,Android,Instagram
130,2026-04-08,Bengaluru,25-34,Android,Instagram
131,2026-04-08,Bengaluru,45+,Android,Organic
132,2026-05-01,Hyderabad,18-24,iOS,Instagram
133,2026-02-27,Mumbai,18-24,iOS,Push Notification
134,2026-01-11,Delhi,18-24,iOS,Google Ads
135,2026-01-06,Pune,25-34,Android,Referral
136,2026-06-21,Hyderabad,25-34,Android,Instagram
137,2026-04-05,Visakhapatnam,18-24,iOS,Google Ads
138,2026-03-21,Hyderabad,18-24,iOS,YouTube
139,2026-06-23,Chennai,45+,iOS,Google Ads
140,2026-01-20,Pune,25-34,Android,Instagram
141,2026-06-25,Pune,18-24,iOS,YouTube
142,2026-01-11,Bengaluru,45+,Android,Organic
143,2026-05-10,Mumbai,35-44,Android,Referral
144,2026-05-06,Hyderabad,45+,iOS,Push Notification
145,2026-04-28,Mumbai,25-34,Android,Push Notification
146,2026-05-14,Mumbai,35-44,Android,YouTube
147,2026-05-04,Chennai,45+,iOS,YouTube
148,2026-03-10,Bengaluru,25-34,iOS,Organic
149,2026-03-13,Chennai,25-34,iOS,YouTube
150,2026-06-06,Mumbai,45+,Android,Referral
151,2026-03-25,Visakhapatnam,45+,Android,Instagram
152,2026-03-29,Bengaluru,35-44,Android,YouTube
153,2026-02-18,Hyderabad,25-34,iOS,Referral
154,2026-05-23,Delhi,25-34,Android,Push Notification
155,2026-05-06,Chennai,18-24,Android,Google Ads
156,2026-04-14,Mumbai,25-34,Android,YouTube
157,2026-04-05,Chennai,35-44,Android,Push Notification
158,2026-05-21,Bengaluru,35-44,iOS,Instagram
159,2026-03-20,Bengaluru,25-34,Android,Google Ads
160,2026-03-22,Hyderabad,25-34,Android,Push Notification
161,2026-05-04,Bengaluru,35-44,iOS,Google Ads
162,2026-03-17,Visakhapatnam,35-44,Android,Organic
163,2026-05-17,Visakhapatnam,35-44,Android,Organic
164,2026-05-22,Bengaluru,25-34,Android,Referral
165,2026-01-27,Delhi,18-24,Android,Referral
166,2026-05-03,Chennai,35-44,Android,Organic
167,2026-03-06,Delhi,45+,Android,Organic
168,2026-04-13,Chennai,18-24,Android,Push Notification
169,2026-01-14,Visakhapatnam,25-34,iOS,Instagram
170,2026-01-22,Visakhapatnam,18-24,Android,Referral
171,2026-06-05,Pune,25-34,iOS,Referral
172,2026-04-26,Chennai,35-44,iOS,Referral
173,2026-03-20,Pune,18-24,Android,Push Notification
174,2026-01-26,Delhi,25-34,Android,Instagram
175,2026-06-19,Hyderabad,25-34,Android,YouTube
176,2026-01-20,Visakhapatnam,18-24,Android,Push Notification
177,2026-06-02,Chennai,35-44,Android,Instagram
178,2026-06-30,Bengaluru,45+,Android,Google Ads
179,2026-03-09,Delhi,25-34,Android,YouTube
180,2026-02-27,Mumbai,25-34,iOS,Google Ads
181,2026-01-19,Hyderabad,25-34,iOS,YouTube
182,2026-05-26,Bengaluru,45+,Android,Push Notification
183,2026-03-19,Mumbai,45+,iOS,YouTube
184,2026-05-19,Chennai,45+,Android,Organic
185,2026-04-21,Mumbai,35-44,Android,Organic
186,2026-01-24,Visakhapatnam,18-24,iOS,Push Notification
187,2026-03-10,Pune,18-24,iOS,Google Ads
188,2026-05-01,Pune,45+,iOS,Google Ads
189,2026-05-30,Chennai,45+,iOS,Referral
190,2026-03-31,Chennai,35-44,Android,Organic
191,2026-02-11,Bengaluru,45+,Android,Instagram
192,2026-06-19,Chennai,18-24,Android,Instagram
193,2026-03-06,Bengaluru,18-24,iOS,Referral
194,2026-05-12,Delhi,18-24,Android,YouTube
195,2026-04-29,Chennai,18-24,Android,Instagram
196,2026-06-09,Delhi,45+,Android,Organic
197,2026-02-22,Bengaluru,25-34,iOS,Referral
198,2026-06-28,Chennai,18-24,Android,Push Notification
199,2026-06-05,Delhi,25-34,iOS,Instagram
200,2026-05-22,Hyderabad,45+,Android,Organic
201,2026-04-29,Hyderabad,25-34,Android,Push Notification
202,2026-03-16,Pune,35-44,Android,Referral
203,2026-05-01,Visakhapatnam,45+,Android,Referral
204,2026-02-18,Pune,25-34,iOS,Instagram
205,2026-04-17,Bengaluru,35-44,iOS,Instagram
206,2026-03-18,Delhi,45+,iOS,Referral
207,2026-05-18,Chennai,35-44,Android,YouTube
208,2026-04-07,Chennai,35-44,iOS,Push Notification
209,2026-03-03,Pune,45+,Android,Referral
210,2026-01-12,Bengaluru,45+,iOS,Referral
211,2026-04-09,Mumbai,25-34,Android,Organic
212,2026-02-02,Pune,35-44,iOS,Referral
213,2026-01-26,Pune,45+,Android,Google Ads
214,2026-04-15,Delhi,25-34,Android,Instagram
215,2026-03-28,Pune,45+,Android,Instagram
216,2026-06-22,Delhi,45+,iOS,Push Notification
217,2026-05-05,Delhi,18-24,Android,Google Ads
218,2026-06-11,Mumbai,35-44,iOS,Push Notification
219,2026-01-24,Chennai,18-24,iOS,Push Notification
220,2026-01-26,Chennai,25-34,Android,Organic
221,2026-01-12,Bengaluru,18-24,Android,Instagram
222,2026-04-21,Visakhapatnam,25-34,Android,YouTube
223,2026-06-24,Delhi,25-34,Android,Organic
224,2026-06-06,Delhi,45+,Android,Google Ads
225,2026-05-08,Pune,25-34,Android,Push Notification
226,2026-03-07,Chennai,35-44,Android,Referral
227,2026-03-15,Mumbai,25-34,Android,Instagram
228,2026-05-31,Bengaluru,45+,Android,Referral
229,2026-03-19,Visakhapatnam,45+,iOS,Organic
230,2026-03-02,Chennai,35-44,Android,Push Notification
231,2026-03-17,Hyderabad,45+,Android,YouTube
232,2026-06-25,Delhi,18-24,iOS,Push Notification
233,2026-05-08,Delhi,35-44,iOS,Google Ads
234,2026-06-05,Delhi,35-44,Android,Google Ads
235,2026-06-08,Bengaluru,25-34,Android,Push Notification
236,2026-06-15,Hyderabad,35-44,iOS,Organic
237,2026-05-29,Bengaluru,25-34,Android,Instagram
238,2026-03-25,Mumbai,45+,Android,Google Ads
239,2026-05-19,Bengaluru,35-44,iOS,Instagram
240,2026-05-04,Delhi,35-44,iOS,Instagram
241,2026-01-30,Chennai,18-24,Android,Google Ads
242,2026-06-23,Mumbai,45+,iOS,YouTube
243,2026-04-04,Hyderabad,45+,Android,YouTube
244,2026-02-01,Chennai,35-44,Android,Push Notification
245,2026-03-09,Pune,45+,iOS,Instagram
246,2026-01-28,Mumbai,25-34,Android,YouTube
247,2026-05-24,Bengaluru,25-34,Android,Push Notification
248,2026-04-29,Mumbai,35-44,Android,Organic
249,2026-02-05,Hyderabad,18-24,Android,Referral
250,2026-01-30,Hyderabad,25-34,iOS,Google Ads
251,2026-04-10,Chennai,35-44,Android,Push Notification
252,2026-06-28,Pune,45+,Android,Push Notification
253,2026-02-09,Chennai,18-24,iOS,YouTube
254,2026-04-15,Bengaluru,18-24,Android,Google Ads
255,2026-04-24,Chennai,25-34,iOS,Organic
256,2026-06-25,Bengaluru,35-44,Android,Instagram
257,2026-02-18,Hyderabad,45+,Android,Google Ads
258,2026-06-14,Mumbai,18-24,Android,Instagram
259,2026-03-04,Visakhapatnam,25-34,Android,YouTube
260,2026-02-23,Pune,25-34,iOS,Google Ads
261,2026-03-26,Delhi,25-34,iOS,YouTube
262,2026-01-01,Bengaluru,25-34,iOS,YouTube
263,2026-03-06,Delhi,25-34,Android,Organic
264,2026-02-03,Hyderabad,35-44,iOS,Google Ads
265,2026-05-31,Bengaluru,18-24,Android,Organic
266,2026-02-02,Mumbai,45+,Android,Push Notification
267,2026-01-17,Chennai,45+,iOS,YouTube
268,2026-06-01,Hyderabad,45+,Android,YouTube
269,2026-01-12,Mumbai,35-44,Android,Organic
270,2026-01-16,Chennai,45+,Android,Organic
271,2026-05-06,Mumbai,45+,Android,Organic
272,2026-03-24,Pune,25-34,Android,Instagram
273,2026-06-09,Mumbai,35-44,Android,YouTube
274,2026-05-16,Bengaluru,45+,Android,Referral
275,2026-01-26,Delhi,18-24,iOS,Push Notification
276,2026-05-22,Mumbai,25-34,Android,Google Ads
277,2026-04-16,Bengaluru,45+,Android,Push Notification
278,2026-01-25,Bengaluru,45+,Android,Instagram
279,2026-04-06,Visakhapatnam,45+,Android,Organic
280,2026-01-24,Chennai,18-24,iOS,Instagram
281,2026-02-03,Pune,18-24,Android,YouTube
282,2026-05-24,Bengaluru,18-24,Android,Push Notification
283,2026-04-19,Delhi,18-24,iOS,YouTube
284,2026-03-21,Bengaluru,18-24,Android,Google Ads
285,2026-02-09,Mumbai,45+,Android,Organic
286,2026-03-31,Delhi,35-44,Android,Instagram
287,2026-05-27,Visakhapatnam,45+,iOS,YouTube
288,2026-06-07,Mumbai,18-24,Android,Push Notification
289,2026-06-27,Bengaluru,18-24,Android,Push Notification
290,2026-03-21,Bengaluru,35-44,Android,Google Ads
291,2026-05-25,Mumbai,45+,Android,Push Notification
292,2026-06-12,Hyderabad,18-24,iOS,Google Ads
293,2026-04-07,Chennai,45+,Android,Instagram
294,2026-03-21,Mumbai,35-44,iOS,YouTube
295,2026-06-02,Hyderabad,18-24,Android,YouTube
296,2026-01-13,Mumbai,18-24,Android,Push Notification
297,2026-04-19,Chennai,45+,Android,Google Ads
298,2026-05-12,Hyderabad,35-44,Android,Instagram
299,2026-06-23,Mumbai,45+,Android,Instagram
300,2026-01-12,Visakhapatnam,45+,iOS,Organic
301,2026-01-02,Visakhapatnam,35-44,iOS,Google Ads
302,2026-03-07,Bengaluru,35-44,Android,Referral
303,2026-04-21,Visakhapatnam,25-34,Android,Push Notification
304,2026-02-28,Pune,35-44,Android,Push Notification
305,2026-01-11,Chennai,18-24,Android,Organic
306,2026-03-22,Pune,45+,Android,Push Notification
307,2026-06-13,Chennai,35-44,Android,Organic
308,2026-03-25,Visakhapatnam,45+,iOS,Instagram
309,2026-01-23,Chennai,18-24,Android,YouTube
310,2026-04-13,Pune,18-24,Android,Instagram
311,2026-03-28,Visakhapatnam,35-44,iOS,Organic
312,2026-05-11,Mumbai,18-24,Android,Google Ads
313,2026-03-31,Bengaluru,25-34,Android,Google Ads
314,2026-03-07,Visakhapatnam,25-34,Android,Push Notification
315,2026-01-20,Visakhapatnam,45+,Android,YouTube
316,2026-05-29,Chennai,35-44,iOS,Push Notification
317,2026-03-22,Visakhapatnam,45+,Android,Referral
318,2026-06-11,Bengaluru,35-44,Android,Instagram
319,2026-05-10,Hyderabad,35-44,Android,Organic
320,2026-01-15,Bengaluru,35-44,Android,Organic
321,2026-06-07,Pune,45+,Android,YouTube
322,2026-01-11,Chennai,25-34,Android,Referral
323,2026-05-09,Visakhapatnam,18-24,Android,Instagram
324,2026-01-22,Pune,25-34,Android,Push Notification
325,2026-04-23,Chennai,25-34,Android,Instagram
326,2026-04-10,Chennai,35-44,Android,Organic
327,2026-06-11,Mumbai,35-44,Android,Organic
328,2026-05-23,Mumbai,45+,Android,Push Notification
329,2026-06-18,Pune,25-34,Android,YouTube
330,2026-06-19,Visakhapatnam,35-44,Android,Push Notification
331,2026-06-28,Mumbai,45+,Android,Push Notification
332,2026-01-22,Bengaluru,45+,Android,Instagram
333,2026-02-02,Mumbai,18-24,Android,Referral
334,2026-05-11,Bengaluru,18-24,Android,Google Ads
335,2026-02-24,Bengaluru,45+,Android,Google Ads
336,2026-02-09,Hyderabad,35-44,iOS,Organic
337,2026-05-10,Delhi,18-24,Android,YouTube
338,2026-02-03,Pune,45+,Android,Google Ads
339,2026-06-27,Delhi,25-34,iOS,Organic
340,2026-04-16,Bengaluru,25-34,iOS,YouTube
341,2026-03-14,Delhi,45+,Android,Google Ads
342,2026-03-21,Delhi,45+,iOS,Google Ads
343,2026-04-05,Mumbai,45+,Android,Instagram
344,2026-04-08,Pune,45+,iOS,Google Ads
345,2026-06-04,Visakhapatnam,35-44,Android,Referral
346,2026-04-06,Pune,18-24,iOS,YouTube
347,2026-02-01,Bengaluru,18-24,iOS,Instagram
348,2026-04-26,Pune,25-34,iOS,Organic
349,2026-02-26,Delhi,45+,iOS,Organic
350,2026-04-17,Hyderabad,45+,Android,Google Ads
351,2026-04-09,Hyderabad,35-44,Android,Instagram
352,2026-01-26,Delhi,35-44,iOS,Google Ads
353,2026-01-10,Bengaluru,45+,Android,Google Ads
354,2026-06-30,Chennai,45+,Android,Organic
355,2026-01-05,Bengaluru,25-34,iOS,YouTube
356,2026-06-05,Pune,45+,Android,Instagram
357,2026-03-02,Bengaluru,18-24,Android,Referral
358,2026-06-13,Delhi,45+,Android,Referral
359,2026-06-02,Pune,18-24,Android,YouTube
360,2026-03-03,Mumbai,25-34,Android,Organic
361,2026-06-07,Bengaluru,25-34,Android,Google Ads
362,2026-06-20,Mumbai,18-24,Android,Instagram
363,2026-01-18,Pune,18-24,Android,Referral
364,2026-01-12,Mumbai,45+,iOS,Instagram
365,2026-01-05,Bengaluru,18-24,Android,Push Notification
366,2026-06-18,Mumbai,18-24,iOS,Push Notification
367,2026-03-27,Visakhapatnam,18-24,Android,Instagram
368,2026-06-14,Visakhapatnam,45+,iOS,Referral
369,2026-06-11,Visakhapatnam,25-34,Android,Referral
370,2026-01-10,Bengaluru,25-34,Android,Google Ads
371,2026-01-11,Bengaluru,35-44,Android,YouTube
372,2026-05-02,Bengaluru,18-24,iOS,Google Ads
373,2026-03-15,Bengaluru,18-24,iOS,Instagram
374,2026-03-11,Hyderabad,35-44,Android,Referral
375,2026-04-23,Chennai,35-44,iOS,Referral
376,2026-06-27,Chennai,35-44,iOS,YouTube
377,2026-03-10,Delhi,18-24,iOS,Organic
378,2026-04-21,Pune,25-34,Android,Instagram
379,2026-01-27,Hyderabad,35-44,Android,Instagram
380,2026-04-25,Pune,45+,Android,Referral
381,2026-03-31,Chennai,18-24,iOS,Instagram
382,2026-06-07,Chennai,35-44,Android,Organic
383,2026-01-20,Mumbai,45+,Android,Push Notification
384,2026-06-23,Visakhapatnam,18-24,Android,YouTube
385,2026-06-23,Delhi,45+,Android,Organic
386,2026-03-02,Delhi,35-44,Android,YouTube
387,2026-01-09,Pune,25-34,Android,Instagram
388,2026-04-06,Chennai,18-24,Android,YouTube
389,2026-04-04,Chennai,35-44,Android,Google Ads
390,2026-01-30,Hyderabad,25-34,Android,Referral
391,2026-05-24,Hyderabad,35-44,iOS,Push Notification
392,2026-04-25,Visakhapatnam,35-44,Android,Referral
393,2026-02-21,Hyderabad,25-34,iOS,Referral
394,2026-02-14,Mumbai,45+,iOS,Push Notification
395,2026-03-23,Mumbai,35-44,iOS,YouTube
396,2026-05-19,Bengaluru,35-44,iOS,Push Notification
397,2026-06-29,Mumbai,25-34,iOS,YouTube
398,2026-02-27,Hyderabad,25-34,iOS,Google Ads
399,2026-05-07,Hyderabad,35-44,Android,Instagram
400,2026-04-30,Delhi,25-34,Android,Organic
401,2026-01-17,Bengaluru,45+,iOS,Push Notification
402,2026-05-03,Pune,45+,iOS,YouTube
403,2026-01-19,Visakhapatnam,35-44,Android,Referral
404,2026-04-30,Mumbai,35-44,Android,YouTube
405,2026-06-13,Pune,25-34,iOS,Google Ads
406,2026-04-21,Pune,18-24,iOS,YouTube
407,2026-02-09,Bengaluru,25-34,Android,Push Notification
408,2026-02-27,Bengaluru,35-44,iOS,Instagram
409,2026-02-20,Mumbai,35-44,Android,Instagram
410,2026-06-07,Pune,18-24,Android,Google Ads
411,2026-06-01,Pune,25-34,Android,YouTube
412,2026-06-04,Bengaluru,18-24,iOS,Organic
413,2026-01-21,Hyderabad,35-44,Android,YouTube
414,2026-04-17,Pune,18-24,Android,Push Notification
415,2026-05-20,Bengaluru,35-44,Android,Push Notification
416,2026-04-14,Bengaluru,45+,Android,Organic
417,2026-02-10,Chennai,45+,Android,Google Ads
418,2026-03-29,Pune,25-34,Android,Push Notification
419,2026-03-23,Mumbai,35-44,iOS,Google Ads
420,2026-04-05,Pune,18-24,Android,Referral
421,2026-02-01,Bengaluru,45+,Android,Organic
422,2026-01-13,Bengaluru,45+,iOS,Referral
423,2026-03-05,Delhi,25-34,iOS,YouTube
424,2026-03-22,Visakhapatnam,25-34,Android,YouTube
425,2026-04-30,Chennai,35-44,Android,Organic
426,2026-04-11,Pune,45+,iOS,Google Ads
427,2026-05-30,Bengaluru,18-24,Android,Referral
428,2026-06-02,Delhi,45+,Android,Organic
429,2026-01-28,Chennai,25-34,iOS,Push Notification
430,2026-04-04,Delhi,45+,Android,Referral
431,2026-01-14,Pune,25-34,Android,Instagram
432,2026-01-19,Chennai,45+,iOS,Instagram
433,2026-06-09,Mumbai,18-24,Android,Organic
434,2026-04-11,Bengaluru,35-44,Android,Instagram
435,2026-02-06,Visakhapatnam,45+,Android,Organic
436,2026-01-10,Visakhapatnam,35-44,iOS,YouTube
437,2026-04-27,Visakhapatnam,25-34,Android,YouTube
438,2026-03-23,Visakhapatnam,45+,iOS,Push Notification
439,2026-03-18,Pune,35-44,Android,YouTube
440,2026-05-17,Chennai,35-44,Android,Organic
441,2026-04-05,Bengaluru,18-24,iOS,YouTube
442,2026-03-20,Delhi,18-24,Android,Instagram
443,2026-06-17,Delhi,25-34,iOS,YouTube
444,2026-05-03,Visakhapatnam,45+,Android,Push Notification
445,2026-03-04,Hyderabad,18-24,Android,Referral
446,2026-03-22,Chennai,25-34,Android,Google Ads
447,2026-04-16,Pune,45+,iOS,Push Notification
448,2026-01-16,Mumbai,25-34,Android,YouTube
449,2026-03-25,Mumbai,45+,Android,Instagram
450,2026-02-14,Chennai,35-44,Android,Push Notification
451,2026-06-24,Mumbai,35-44,Android,Google Ads
452,2026-03-05,Bengaluru,35-44,Android,Instagram
453,2026-03-15,Mumbai,25-34,Android,Referral
454,2026-03-23,Chennai,35-44,Android,Push Notification
455,2026-03-12,Bengaluru,18-24,Android,YouTube
456,2026-04-08,Chennai,35-44,iOS,Google Ads
457,2026-03-16,Hyderabad,35-44,iOS,Organic
458,2026-03-30,Chennai,35-44,iOS,Google Ads
459,2026-02-21,Delhi,35-44,iOS,Push Notification
460,2026-03-11,Visakhapatnam,18-24,Android,YouTube
461,2026-03-03,Visakhapatnam,18-24,Android,YouTube
462,2026-02-27,Mumbai,25-34,Android,Referral
463,2026-03-26,Mumbai,45+,Android,Google Ads
464,2026-01-02,Pune,25-34,Android,Referral
465,2026-05-03,Mumbai,25-34,iOS,Instagram
466,2026-03-24,Bengaluru,18-24,iOS,Organic
467,2026-06-16,Pune,25-34,Android,Push Notification
468,2026-01-10,Visakhapatnam,45+,iOS,Google Ads
469,2026-01-10,Delhi,45+,iOS,Google Ads
470,2026-03-16,Hyderabad,18-24,Android,YouTube
471,2026-01-28,Bengaluru,35-44,Android,Push Notification
472,2026-05-20,Pune,45+,iOS,Google Ads
473,2026-05-10,Chennai,35-44,Android,Organic
474,2026-03-26,Visakhapatnam,45+,Android,Push Notification
475,2026-02-17,Hyderabad,35-44,iOS,YouTube
476,2026-06-22,Delhi,25-34,Android,Push Notification
477,2026-04-14,Delhi,45+,Android,Organic
478,2026-04-13,Mumbai,18-24,Android,Google Ads
479,2026-05-03,Bengaluru,25-34,Android,Referral
480,2026-03-02,Chennai,35-44,iOS,Instagram
481,2026-05-30,Mumbai,18-24,Android,Instagram
482,2026-06-27,Visakhapatnam,18-24,Android,Referral
483,2026-03-20,Visakhapatnam,45+,Android,Push Notification
484,2026-03-21,Mumbai,18-24,Android,Instagram
485,2026-04-05,Pune,25-34,Android,Google Ads
486,2026-05-03,Visakhapatnam,45+,iOS,YouTube
487,2026-04-06,Chennai,45+,iOS,Push Notification
488,2026-02-25,Delhi,25-34,Android,YouTube
489,2026-01-21,Pune,45+,Android,Instagram
490,2026-01-20,Pune,18-24,Android,YouTube
491,2026-05-10,Visakhapatnam,25-34,Android,YouTube
492,2026-04-24,Hyderabad,25-34,iOS,Referral
493,2026-01-24,Pune,45+,iOS,Referral
494,2026-02-03,Pune,45+,Android,Organic
495,2026-05-24,Chennai,35-44,iOS,Referral
496,2026-03-07,Delhi,18-24,iOS,YouTube
497,2026-01-19,Hyderabad,45+,Android,Organic
498,2026-05-19,Hyderabad,18-24,iOS,Referral
499,2026-01-09,Bengaluru,45+,Android,Google Ads
500,2026-06-14,Mumbai,45+,Android,Referral
501,2026-04-25,Delhi,45+,Android,Push Notification
502,2026-06-19,Delhi,25-34,Android,Instagram
503,2026-01-31,Visakhapatnam,45+,Android,Push Notification
504,2026-02-27,Delhi,18-24,iOS,Instagram
505,2026-04-29,Mumbai,45+,Android,Google Ads
506,2026-03-05,Chennai,35-44,Android,Google Ads
507,2026-01-29,Hyderabad,45+,Android,Organic
508,2026-03-03,Visakhapatnam,18-24,Android,Organic
509,2026-04-25,Pune,18-24,Android,Organic
510,2026-04-13,Chennai,25-34,Android,Organic
511,2026-02-05,Pune,35-44,Android,Push Notification
512,2026-05-28,Bengaluru,35-44,Android,Google Ads
513,2026-06-19,Pune,25-34,Android,Instagram
